product_name,product_description,product_weight,vendor_name,vendor_contact,vendor_address,vendor_city,vendor_state,vendor_country,vendor_postal_code,vendor_phone,vendor_email,location_name,warehouse_name,warehouse_address,warehouse_city,warehouse_state,warehouse_country,warehouse_postal_code,warehouse_phone,warehouse_email,inventory_quantity
4x6x10,4in x 6in x 10ft framing stud,2.4,Alphabet Lumber,John Smith,100 Alphabet Ln,Alphabet,Alabama,US,36100,3346874430,johnsmith@alphalumber.com,BL22KL,100A,123 Alphabet Ln,Alphabet,Alabama,US,36100,3347877437,alphabet@alphabetsuppliers.com,22
4x10x14,4in x 10in x 14ft framing stud,5.6,Alphabet Lumber,John Smith,100 Alphabet Ln,Alphabet,Alabama,US,36100,3346874430,johnsmith@alphalumber.com,UB09PH,100T,123 Alphabet Ln,Alphabet,Alabama,US,36100,3347877437,alphabet@alphabetsuppliers.com,40
2x10x14,2in x 10in x 14ft framing stud,2.8,Alphabet Lumber,John Smith,100 Alphabet Ln,Alphabet,Alabama,US,36100,3346874430,johnsmith@alphalumber.com,DE96HR,100A,123 Alphabet Ln,Alphabet,Alabama,US,36100,3347877437,alphabet@alphabetsuppliers.com,150
4x10x10,4in x 10in x 10ft framing stud,4,Alphabet Lumber,John Smith,100 Alphabet Ln,Alphabet,Alabama,US,36100,3346874430,johnsmith@alphalumber.com,XR26BT,100T,123 Alphabet Ln,Alphabet,Alabama,US,36100,3347877437,alphabet@alphabetsuppliers.com,49
1x12x14,1in x 12in x 14ft framing stud,1.68,Alphabet Lumber,John Smith,100 Alphabet Ln,Alphabet,Alabama,US,36100,3346874430,johnsmith@alphalumber.com,MQ50YK,100T,123 Alphabet Ln,Alphabet,Alabama,US,36100,3347877437,alphabet@alphabetsuppliers.com,120
1x10x10,1in x 10in x 10ft framing stud,1,Alphabet Lumber,John Smith,100 Alphabet Ln,Alphabet,Alabama,US,36100,3346874430,johnsmith@alphalumber.com,WI47TE,100T,123 Alphabet Ln,Alphabet,Alabama,US,36100,3347877437,alphabet@alphabetsuppliers.com,110
4x12x16,4in x 12in x 16ft framing stud,7.68,Alphabet Lumber,John Smith,100 Alphabet Ln,Alphabet,Alabama,US,36100,3346874430,johnsmith@alphalumber.com,AZ65HL,100A,123 Alphabet Ln,Alphabet,Alabama,US,36100,3347877437,alphabet@alphabetsuppliers.com,92
4x10x8,4in x 10in x 8ft framing stud,3.2,Alphabet Lumber,John Smith,100 Alphabet Ln,Alphabet,Alabama,US,36100,3346874430,johnsmith@alphalumber.com,VX71NW,100A,123 Alphabet Ln,Alphabet,Alabama,US,36100,3347877437,alphabet@alphabetsuppliers.com,55
1x12x10,1in x 12in x 10ft framing stud,1.2,Alphabet Lumber,John Smith,100 Alphabet Ln,Alphabet,Alabama,US,36100,3346874430,johnsmith@alphalumber.com,YZ68MV,100A,123 Alphabet Ln,Alphabet,Alabama,US,36100,3347877437,alphabet@alphabetsuppliers.com,91
4x4x8,4in x 4in x 8ft framing stud,1.28,Alphabet Lumber,John Smith,100 Alphabet Ln,Alphabet,Alabama,US,36100,3346874430,johnsmith@alphalumber.com,EF97DD,100A,123 Alphabet Ln,Alphabet,Alabama,US,36100,3347877437,alphabet@alphabetsuppliers.com,120
2x12x10,2in x 12in x 10ft framing stud,2.4,Alphabet Lumber,John Smith,100 Alphabet Ln,Alphabet,Alabama,US,36100,3346874430,johnsmith@alphalumber.com,FB54PV,100T,123 Alphabet Ln,Alphabet,Alabama,US,36100,3347877437,alphabet@alphabetsuppliers.com,100
4x1x10,4in x 1in x 10ft framing stud,0.4,Alphabet Lumber,John Smith,100 Alphabet Ln,Alphabet,Alabama,US,36100,3346874430,johnsmith@alphalumber.com,JH59GA,100A,123 Alphabet Ln,Alphabet,Alabama,US,36100,3347877437,alphabet@alphabetsuppliers.com,180
1x10x12,1in x 10in x 12ft framing stud,1.2,Alphabet Lumber,John Smith,100 Alphabet Ln,Alphabet,Alabama,US,36100,3346874430,johnsmith@alphalumber.com,TG51AI,100A,123 Alphabet Ln,Alphabet,Alabama,US,36100,3347877437,alphabet@alphabetsuppliers.com,100
1x12x14,1in x 12in x 14ft framing stud,1.68,Alphabet Lumber,John Smith,100 Alphabet Ln,Alphabet,Alabama,US,36100,3346874430,johnsmith@alphalumber.com,JV10YF,100T,123 Alphabet Ln,Alphabet,Alabama,US,36100,3347877437,alphabet@alphabetsuppliers.com,56
4x10x14,4in x 10in x 14ft framing stud,5.6,Alphabet Lumber,John Smith,100 Alphabet Ln,Alphabet,Alabama,US,36100,3346874430,johnsmith@alphalumber.com,NG22KV,100A,123 Alphabet Ln,Alphabet,Alabama,US,36100,3347877437,alphabet@alphabetsuppliers.com,89
4x12x8,4in x 12in x 8ft framing stud,3.84,Alphabet Lumber,John Smith,100 Alphabet Ln,Alphabet,Alabama,US,36100,3346874430,johnsmith@alphalumber.com,VA78OT,100A,123 Alphabet Ln,Alphabet,Alabama,US,36100,3347877437,alphabet@alphabetsuppliers.com,91
4x12x14,4in x 12 x 14ft framing stud,6.72,Alphabet Lumber,John Smith,100 Alphabet Ln,Alphabet,Alabama,US,36100,3346874430,johnsmith@alphalumber.com,TD17TD,100T,123 Alphabet Ln,Alphabet,Alabama,US,36100,3347877437,alphabet@alphabetsuppliers.com,58
1x4x8,1in x 4in x 8ft framing stud,0.32,Alphabet Lumber,John Smith,100 Alphabet Ln,Alphabet,Alabama,US,36100,3346874430,johnsmith@alphalumber.com,CD27YW,100T,123 Alphabet Ln,Alphabet,Alabama,US,36100,3347877437,alphabet@alphabetsuppliers.com,150
4x1x8,4in x 1in x 8ft framing stud,0.32,Alphabet Lumber,John Smith,100 Alphabet Ln,Alphabet,Alabama,US,36100,3346874430,johnsmith@alphalumber.com,LY42TS,100A,123 Alphabet Ln,Alphabet,Alabama,US,36100,3347877437,alphabet@alphabetsuppliers.com,110
2x12x12,2in x 12in x 12ft framing stud,2.88,Alphabet Lumber,John Smith,100 Alphabet Ln,Alphabet,Alabama,US,36100,3346874430,johnsmith@alphalumber.com,CP42JD,100A,123 Alphabet Ln,Alphabet,Alabama,US,36100,3347877437,alphabet@alphabetsuppliers.com,130
6x8x3/4,6ft by 8ft by 3/4in subfloor,9,Alphabet Lumber,John Smith,101 Alphabet Ln,Alphabet,Alabama,US,36100,3346874430,johnsmith@alphalumber.com,XN08FR,100A,123 Alphabet Ln,Alphabet,Alabama,US,36100,3347877437,alphabet@alphabetsuppliers.com,120
6x16x1/2,6ft by 16ft by 1/2in subfloor,12,Alphabet Lumber,John Smith,102 Alphabet Ln,Alphabet,Alabama,US,36100,3346874430,johnsmith@alphalumber.com,OT36YP,100A,123 Alphabet Ln,Alphabet,Alabama,US,36100,3347877437,alphabet@alphabetsuppliers.com,110
6x12x1,6ft by 12ft by 1in subfloor,18,Alphabet Lumber,John Smith,103 Alphabet Ln,Alphabet,Alabama,US,36100,3346874430,johnsmith@alphalumber.com,WM54LK,100T,123 Alphabet Ln,Alphabet,Alabama,US,36100,3347877437,alphabet@alphabetsuppliers.com,11
4x10x1,4ft by 10ft by 1in subfloor,10,Alphabet Lumber,John Smith,104 Alphabet Ln,Alphabet,Alabama,US,36100,3346874430,johnsmith@alphalumber.com,PI80QT,100T,123 Alphabet Ln,Alphabet,Alabama,US,36100,3347877437,alphabet@alphabetsuppliers.com,92
4x12x1,4ft by 12ft by 1in subfloor,12,Alphabet Lumber,John Smith,105 Alphabet Ln,Alphabet,Alabama,US,36100,3346874430,johnsmith@alphalumber.com,DG71FV,100A,123 Alphabet Ln,Alphabet,Alabama,US,36100,3347877437,alphabet@alphabetsuppliers.com,170
6x8x1,6ft by 8ft by 1in subfloor,12,Alphabet Lumber,John Smith,106 Alphabet Ln,Alphabet,Alabama,US,36100,3346874430,johnsmith@alphalumber.com,SA18SR,100A,123 Alphabet Ln,Alphabet,Alabama,US,36100,3347877437,alphabet@alphabetsuppliers.com,170
6x6x1,6ft by 6ft by 1in subfloor,9,Alphabet Lumber,John Smith,107 Alphabet Ln,Alphabet,Alabama,US,36100,3346874430,johnsmith@alphalumber.com,NE00IP,100A,123 Alphabet Ln,Alphabet,Alabama,US,36100,3347877437,alphabet@alphabetsuppliers.com,140
6x12x1,6ft by 12ft by 1in subfloor,18,Alphabet Lumber,John Smith,108 Alphabet Ln,Alphabet,Alabama,US,36100,3346874430,johnsmith@alphalumber.com,BA39BW,100A,123 Alphabet Ln,Alphabet,Alabama,US,36100,3347877437,alphabet@alphabetsuppliers.com,110
4x8x1/2,4ft by 8ft by 1/2in subfloor,4,Alphabet Lumber,John Smith,109 Alphabet Ln,Alphabet,Alabama,US,36100,3346874430,johnsmith@alphalumber.com,JF72QT,100A,123 Alphabet Ln,Alphabet,Alabama,US,36100,3347877437,alphabet@alphabetsuppliers.com,78
4x6x1/2,4ft by 6ft by 1/2in subfloor,3,Alphabet Lumber,John Smith,110 Alphabet Ln,Alphabet,Alabama,US,36100,3346874430,johnsmith@alphalumber.com,EQ49CT,100A,123 Alphabet Ln,Alphabet,Alabama,US,36100,3347877437,alphabet@alphabetsuppliers.com,130
6x8x3/4,6ft by 8ft by 3/4in drywall,18,Sheetrock,Joe Doe,555 Industry Pl,Industry,Indiana,US,46100,4634634262,joedoe@sheetrock.com,GK67VY,100A,123 Alphabet Ln,Alphabet,Alabama,US,36100,3347877437,alphabet@alphabetsuppliers.com,61
6x16x1/2,6ft by 16ft by 1/2in drywall,24,Sheetrock,Joe Doe,555 Industry Pl,Industry,Indiana,US,46100,4634634262,joedoe@sheetrock.com,ZT37EX,100T,123 Alphabet Ln,Alphabet,Alabama,US,36100,3347877437,alphabet@alphabetsuppliers.com,99
6x12x1,6ft by 12ft by 1in drywall,36,Sheetrock,Joe Doe,555 Industry Pl,Industry,Indiana,US,46100,4634634262,joedoe@sheetrock.com,ND81FE,100A,123 Alphabet Ln,Alphabet,Alabama,US,36100,3347877437,alphabet@alphabetsuppliers.com,82
4x10x1,4ft by 10ft by 1in drywall,20,Sheetrock,Joe Doe,555 Industry Pl,Industry,Indiana,US,46100,4634634262,joedoe@sheetrock.com,ZG83LA,100T,123 Alphabet Ln,Alphabet,Alabama,US,36100,3347877437,alphabet@alphabetsuppliers.com,51
4x12x1,4ft by 12ft by 1in drywall,24,Sheetrock,Joe Doe,555 Industry Pl,Industry,Indiana,US,46100,4634634262,joedoe@sheetrock.com,VM43OY,100A,123 Alphabet Ln,Alphabet,Alabama,US,36100,3347877437,alphabet@alphabetsuppliers.com,140
6x8x1,6ft by 8ft by 1in drywall,24,Sheetrock,Joe Doe,555 Industry Pl,Industry,Indiana,US,46100,4634634262,joedoe@sheetrock.com,GZ17BM,100A,123 Alphabet Ln,Alphabet,Alabama,US,36100,3347877437,alphabet@alphabetsuppliers.com,68
6x6x1,6ft by 6ft by 1in drywall,18,Sheetrock,Joe Doe,555 Industry Pl,Industry,Indiana,US,46100,4634634262,joedoe@sheetrock.com,VY23EH,100A,123 Alphabet Ln,Alphabet,Alabama,US,36100,3347877437,alphabet@alphabetsuppliers.com,120
6x12x1,6ft by 12ft by 1in drywall,36,Sheetrock,Joe Doe,555 Industry Pl,Industry,Indiana,US,46100,4634634262,joedoe@sheetrock.com,PJ38NZ,100A,123 Alphabet Ln,Alphabet,Alabama,US,36100,3347877437,alphabet@alphabetsuppliers.com,100
4x8x1/2,4ft by 8ft by 1/2in drywall,8,Sheetrock,Joe Doe,555 Industry Pl,Industry,Indiana,US,46100,4634634262,joedoe@sheetrock.com,TH22AQ,100A,123 Alphabet Ln,Alphabet,Alabama,US,36100,3347877437,alphabet@alphabetsuppliers.com,100
